Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1461,1-STORY 1946+,RH,80,11622,0,Inside,0,NAmes,1Fam,1Story,5,6,1961,1961,CompShg,None,3,3,CBlock,3,3,0,3,468,3,144,270,882,GasA,3,1,5,896,0,0,896,0,0,1,2,1,3,5,0,0,0,Attchd,1961,1,1,730,3,3,2,140,0,0,0,120,0,0,3,,0,June,2010,WD,Normal,122579.168
1462,1-STORY 1946+,RL,81,14267,1,Corner,0,NAmes,1Fam,1Story,6,6,1958,1958,CompShg,BrkFace,3,3,CBlock,3,3,0,5,923,1,0,406,1329,GasA,3,1,5,1329,0,0,1329,0,0,1,3,1,4,6,0,0,0,Attchd,1958,1,1,312,3,3,2,393,36,0,0,0,0,0,0,Gar2,12500,June,2010,WD,Normal,157035.1612
1463,2-STORY 1946+,RL,74,13830,1,Inside,0,Gilbert,1Fam,2Story,5,5,1997,1998,CompShg,None,3,3,PConc,4,3,0,6,791,1,0,137,928,GasA,4,1,5,928,701,0,1629,0,0,2,3,1,3,6,0,1,3,Attchd,1997,3,2,482,3,3,2,212,34,0,0,0,0,0,3,,0,Mar,2010,WD,Normal,184240.4335
1464,2-STORY 1946+,RL,78,9978,1,Inside,0,Gilbert,1Fam,2Story,6,6,1998,1998,CompShg,BrkFace,3,3,PConc,3,3,0,6,602,1,0,324,926,GasA,5,1,5,926,678,0,1604,0,0,2,3,1,4,7,0,1,4,Attchd,1998,3,2,470,3,3,2,360,36,0,0,0,0,0,0,,0,June,2010,WD,Normal,183231.2666
1465,1-STORY PUD 1946+,RL,43,5005,1,Inside,0,StoneBr,TwnhsE,1Story,8,5,1992,1992,CompShg,None,4,3,PConc,4,3,0,5,263,1,0,1017,1280,GasA,5,1,5,1280,0,0,1280,0,0,2,2,1,4,5,0,0,0,Attchd,1992,2,2,506,3,3,2,0,82,0,0,144,0,0,0,,0,Jan,2010,WD,Normal,199204.4633
1466,2-STORY 1946+,RL,75,10000,1,Corner,0,Gilbert,1Fam,2Story,6,5,1993,1994,CompShg,None,3,3,PConc,4,3,0,1,0,1,0,763,763,GasA,4,1,5,763,892,0,1655,0,0,2,3,1,3,7,0,1,3,Attchd,1993,3,2,440,3,3,2,157,84,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,175066.2938
1467,1-STORY 1946+,RL,,7980,1,Inside,0,Gilbert,1Fam,1Story,6,7,1992,2007,CompShg,None,3,4,PConc,4,3,0,5,935,1,0,233,1168,GasA,5,1,5,1187,0,0,1187,1,0,2,3,1,3,6,0,0,0,Attchd,1992,3,2,420,3,3,2,483,21,0,0,0,0,0,4,Shed,500,Mar,2010,WD,Normal,165834.2548
1468,2-STORY 1946+,RL,63,8402,1,Inside,0,Gilbert,1Fam,2Story,6,5,1998,1998,CompShg,None,3,3,PConc,4,3,0,1,0,1,0,789,789,GasA,4,1,5,789,676,0,1465,0,0,2,3,1,3,7,0,1,4,Attchd,1998,3,2,393,3,3,2,0,75,0,0,0,0,0,0,,0,May,2010,WD,Normal,164477.5473
1469,1-STORY 1946+,RL,85,10176,0,Inside,0,Gilbert,1Fam,1Story,7,5,1990,1990,CompShg,None,3,3,PConc,4,3,3,6,637,1,0,663,1300,GasA,4,1,5,1341,0,0,1341,1,0,1,2,1,4,5,0,1,1,Attchd,1990,1,2,506,3,3,2,192,0,0,0,0,0,0,0,,0,Feb,2010,WD,Normal,186737.8594
1470,1-STORY 1946+,RL,70,8400,0,Corner,0,NAmes,1Fam,1Story,4,5,1970,1970,CompShg,None,3,3,CBlock,3,3,0,5,804,3,78,0,882,GasA,3,1,5,882,0,0,882,1,0,1,2,1,3,4,0,0,0,Attchd,1970,3,2,525,3,3,2,240,0,0,0,0,0,0,3,,0,Apr,2010,WD,Normal,122233.0819
1471,1-STORY PUD 1946+,RH,26,5858,1,FR2,0,NAmes,TwnhsE,1Story,7,5,1999,1999,CompShg,None,4,3,PConc,4,3,0,6,1051,4,0,354,1405,GasA,5,1,5,1337,0,0,1337,1,0,2,2,1,4,5,0,1,2,Attchd,1999,3,2,511,3,3,2,203,68,0,0,0,0,0,0,,0,June,2010,WD,Normal,204613.8715
1472,2-STORY PUD 1946+,RM,21,1680,0,Inside,0,BrDale,Twnhs,2Story,6,5,1971,1971,CompShg,BrkFace,3,3,CBlock,3,3,0,3,156,1,0,327,483,GasA,3,1,5,483,504,0,987,0,0,1,2,1,3,5,0,0,0,Detchd,1971,1,1,264,3,3,2,275,0,0,0,0,0,0,0,,0,Feb,2010,COD,Normal,95397.6544
1473,2-STORY PUD 1946+,RM,21,1680,0,Inside,0,BrDale,Twnhs,2Story,5,5,1971,1971,CompShg,BrkFace,3,3,CBlock,3,3,0,3,300,1,0,225,525,GasA,3,1,5,525,567,0,1092,0,0,1,3,1,3,6,0,0,0,Detchd,1997,1,1,320,3,3,2,0,0,0,0,0,0,0,0,,0,Mar,2010,WD,Normal,96497.00628
1474,2-STORY PUD 1946+,RL,24,2280,0,FR2,0,NPkVill,Twnhs,2Story,6,6,1975,1975,CompShg,None,3,3,CBlock,3,3,0,5,514,1,0,341,855,GasA,3,1,5,855,601,0,1456,0,0,2,3,1,4,6,0,1,3,Attchd,1975,1,2,440,3,3,2,173,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,152581.4327
1475,1-STORY PUD 1946+,RL,24,2280,0,FR2,0,NPkVill,Twnhs,1Story,7,6,1975,1975,CompShg,None,3,3,CBlock,4,3,0,1,0,1,0,836,836,GasA,5,1,5,836,0,0,836,0,0,1,2,1,3,4,0,0,0,Attchd,1975,1,1,308,3,3,2,0,30,0,0,0,0,0,0,,0,June,2010,WD,Normal,135653.8353
1476,2-STORY 1946+,RL,102,12858,1,Inside,0,NridgHt,1Fam,2Story,9,5,2009,2010,CompShg,Stone,5,3,PConc,5,3,0,1,0,1,0,1590,1590,GasA,5,1,5,1627,707,0,2334,0,0,2,3,1,5,10,0,1,4,Attchd,2009,3,3,751,3,3,2,144,133,0,0,0,0,0,0,,0,Jan,2010,New,Partial,389391.8855
1477,1-STORY 1946+,RL,94,12883,1,Corner,0,NridgHt,1Fam,1Story,8,5,2009,2010,CompShg,Stone,4,3,PConc,4,3,0,1,0,1,0,1544,1544,GasA,5,1,5,1544,0,0,1544,0,0,2,3,1,4,7,0,0,0,Attchd,2009,2,3,868,3,3,2,0,35,0,0,0,0,0,0,,0,June,2010,New,Partial,253782.0863
1478,1-STORY 1946+,RL,90,11520,0,Inside,0,NridgHt,1Fam,1Story,9,5,2005,2005,CompShg,BrkFace,4,3,PConc,5,3,0,6,110,1,0,1588,1698,GasA,5,1,5,1698,0,0,1698,0,0,2,3,1,5,7,0,1,4,Attchd,2005,3,3,730,3,3,2,192,74,0,0,0,0,0,0,,0,June,2010,WD,Normal,294210.0432
1479,1-STORY 1946+,RL,79,14122,1,Inside,0,NridgHt,1Fam,1Story,8,5,2005,2006,CompShg,BrkFace,4,3,PConc,5,3,0,6,28,1,0,1794,1822,GasA,5,1,5,1822,0,0,1822,0,0,2,3,1,5,8,0,1,4,Attchd,2005,2,3,678,3,3,2,0,119,0,0,0,0,0,0,,0,Feb,2010,WD,Normal,278945.4258
1480,1-STORY 1946+,RL,110,14300,0,Inside,1,NridgHt,1Fam,1Story,9,5,2003,2004,CompShg,BrkFace,5,3,PConc,5,3,3,6,1373,1,0,1473,2846,GasA,5,1,5,2696,0,0,2696,1,0,2,3,1,5,10,0,2,4,Attchd,2003,3,3,958,3,3,2,220,150,0,0,0,0,0,0,,0,June,2010,WD,Normal,474559.3651
1481,2-STORY 1946+,RL,105,13650,0,Corner,0,NridgHt,1Fam,2Story,8,5,2002,2002,CompShg,BrkFace,4,3,PConc,4,3,3,6,578,1,0,1093,1671,GasA,5,1,5,1687,563,0,2250,1,0,2,3,1,4,7,0,1,5,Attchd,2002,3,3,756,3,3,2,238,130,0,0,0,0,0,0,,0,June,2010,WD,Normal,324021.2656
1482,1-STORY PUD 1946+,RL,41,7132,1,Inside,0,NridgHt,TwnhsE,1Story,8,5,2006,2006,CompShg,Stone,4,3,PConc,4,3,1,6,24,1,0,1346,1370,GasA,5,1,5,1370,0,0,1370,0,0,2,2,1,4,6,0,1,4,Attchd,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,205949.4514
1483,1-STORY 1946+,RL,100,18494,1,Corner,0,Gilbert,1Fam,1Story,6,5,2005,2005,CompShg,None,4,3,PConc,4,3,0,1,0,1,0,1324,1324,GasA,5,1,5,1324,0,0,1324,0,0,2,3,1,4,6,0,0,0,Attchd,2005,3,2,430,3,3,2,36,23,0,0,0,0,0,0,,0,Jan,2010,WD,Normal,170803.0649
1484,1-STORY PUD 1946+,RL,43,3203,0,Inside,0,Blmngtn,TwnhsE,1Story,7,5,2006,2006,CompShg,BrkFace,4,3,PConc,4,3,2,6,16,1,0,1129,1145,GasA,5,1,5,1145,0,0,1145,0,0,2,2,1,4,6,0,0,0,Attchd,2006,3,2,437,3,3,2,100,116,0,0,0,0,0,0,,0,Jan,2010,WD,Normal,176055.1394
1485,SPLIT OR MULTI-LEVEL,RL,67,13300,1,Inside,0,Gilbert,1Fam,SLvl,7,5,2004,2004,CompShg,None,4,3,PConc,4,3,0,6,326,1,0,58,384,GasA,5,1,5,744,630,0,1374,1,0,2,3,1,4,7,0,1,4,BuiltIn,2004,3,2,400,3,3,2,100,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,177761.6101
1486,2-STORY 1946+,RL,63,8577,1,Inside,0,Gilbert,1Fam,2Story,7,5,2004,2004,CompShg,None,4,3,PConc,4,3,0,1,0,1,0,847,847,GasA,5,1,5,847,886,0,1733,0,0,2,3,1,4,7,0,1,4,BuiltIn,2004,3,2,433,3,3,2,144,48,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,191896.2504
1487,2-STORY 1946+,RL,60,17433,2,CulDSac,0,NoRidge,1Fam,2Story,8,5,1998,1998,CompShg,BrkFace,4,3,PConc,5,3,0,1,0,1,0,1629,1629,GasA,5,1,5,1645,830,0,2475,0,0,2,4,1,4,7,0,1,3,Attchd,1998,3,3,962,3,3,2,23,172,0,0,256,0,0,0,,0,Jan,2010,WD,Normal,355159.5636
1488,1-STORY 1946+,RL,73,8987,0,Inside,0,Somerst,1Fam,1Story,8,5,2005,2006,CompShg,BrkFace,4,3,PConc,4,3,0,1,0,1,0,1595,1595,GasA,5,1,5,1595,0,0,1595,0,0,2,2,1,4,6,0,1,4,Attchd,2005,2,3,880,3,3,2,144,0,0,0,0,0,0,0,,0,May,2010,WD,Normal,238546.9706
1489,1-STORY 1946+,FV,92,9215,0,Inside,0,Somerst,1Fam,1Story,7,5,2009,2010,CompShg,None,4,3,PConc,4,3,0,1,0,1,0,1218,1218,GasA,5,1,5,1218,0,0,1218,0,0,2,2,1,4,4,0,0,0,Attchd,2009,2,2,676,3,3,2,0,136,0,0,0,0,0,0,,0,Apr,2010,New,Partial,201910.9054
1490,1-STORY 1946+,FV,84,10440,0,Corner,0,Somerst,1Fam,1Story,6,5,2005,2005,CompShg,None,4,3,PConc,5,3,0,6,1414,1,0,54,1468,GasA,5,1,5,1468,0,0,1468,1,0,2,2,1,4,6,0,1,4,Attchd,2005,3,2,528,3,3,2,0,102,0,0,216,0,0,0,,0,May,2010,WD,Normal,210612.9819
1491,2-STORY 1946+,RL,70,11920,0,Inside,0,SawyerW,1Fam,2Story,7,5,2004,2004,CompShg,BrkFace,4,3,PConc,4,3,2,1,0,1,0,831,831,GasA,5,1,5,831,828,0,1659,0,0,2,3,1,4,8,0,0,0,Attchd,2004,2,2,484,3,3,2,144,68,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,190212.2407
1492,1-STORY 1945-,RH,70,9800,0,Corner,0,SawyerW,1Fam,1Story,5,5,1920,1950,CompShg,None,3,2,BrkTil,3,3,0,1,0,1,0,816,816,GasA,3,0,4,1012,0,0,1012,0,0,1,2,1,3,5,0,0,0,Detchd,1920,1,1,429,3,3,2,121,0,80,0,0,0,0,0,,0,Apr,2010,WD,Normal,94308.30628
1493,1-STORY 1946+,RL,39,15410,1,CulDSac,0,Sawyer,1Fam,1Story,6,6,1974,2002,CompShg,BrkCmn,3,4,CBlock,3,3,3,4,126,6,859,223,1208,GasA,5,1,5,1494,0,0,1494,1,0,2,3,1,3,7,0,2,2,Attchd,1974,3,2,461,3,3,2,296,0,186,0,0,0,0,4,,0,Apr,2010,WD,Abnorml,181127.9149
1494,2-STORY 1946+,RL,85,13143,1,Inside,0,NoRidge,1Fam,2Story,8,5,1993,1993,CompShg,BrkFace,4,3,PConc,4,3,0,2,250,6,981,0,1231,GasA,5,1,5,1251,1098,0,2349,1,0,2,4,1,4,9,0,1,3,Attchd,1993,2,3,762,3,3,2,32,130,0,0,0,0,0,0,,0,June,2010,WD,Normal,304239.2861
1495,2-STORY 1946+,RL,88,11134,0,Inside,0,NoRidge,1Fam,2Story,8,5,1992,1993,CompShg,BrkFace,4,3,PConc,4,3,0,6,1129,1,0,261,1390,GasA,5,1,5,1402,823,0,2225,1,0,2,4,1,4,7,0,1,3,Attchd,1992,2,3,713,3,3,2,198,30,0,0,0,0,0,0,,0,June,2010,WD,Normal,302603.7024
1496,1-STORY PUD 1946+,FV,25,4835,1,CulDSac,0,Somerst,TwnhsE,1Story,7,5,2004,2005,CompShg,None,4,3,PConc,5,3,2,6,1298,1,0,190,1488,GasA,5,1,5,1488,0,0,1488,1,0,2,2,1,4,6,0,1,4,Attchd,2004,3,2,506,3,3,2,168,50,0,0,0,0,0,0,,0,Mar,2010,WD,Normal,236011.5729
1497,2-STORY PUD 1946+,FV,39,3515,0,Inside,0,Somerst,TwnhsE,2Story,7,5,2004,2004,CompShg,None,4,3,PConc,4,3,0,1,0,1,0,840,840,GasA,5,1,5,840,840,0,1680,0,0,2,2,1,4,3,0,0,0,Attchd,2004,2,2,588,3,3,2,0,111,0,0,0,0,0,0,,0,Jan,2010,WD,Normal,184220.4763
1498,2-STORY PUD 1946+,FV,30,3215,0,Inside,0,Somerst,TwnhsE,2Story,7,5,2004,2004,CompShg,BrkFace,4,3,PConc,4,3,2,6,280,1,0,320,600,GasA,5,1,5,600,600,0,1200,0,0,2,2,1,4,4,0,0,0,Detchd,2004,2,2,480,3,3,2,0,172,0,0,0,0,0,0,,0,Apr,2010,ConLD,Normal,165371.7395
1499,2-STORY PUD 1946+,FV,24,2544,0,Inside,0,Somerst,Twnhs,2Story,7,5,2004,2005,CompShg,None,4,3,PConc,4,3,0,6,368,5,42,190,600,GasA,5,1,5,600,600,0,1200,1,0,2,2,1,4,4,0,0,0,Detchd,2004,2,2,480,3,3,2,0,172,0,0,0,0,0,0,,0,Feb,2010,WD,Normal,164046.8745
1500,2-STORY PUD 1946+,FV,24,2544,0,Inside,0,Somerst,Twnhs,2Story,6,5,2005,2005,CompShg,BrkFace,4,3,PConc,4,3,0,6,376,1,0,224,600,GasA,5,1,5,600,636,0,1236,1,0,2,2,1,4,4,0,0,0,Detchd,2005,2,2,480,3,3,2,0,166,0,0,0,0,0,0,,0,May,2010,WD,Normal,147400.8378
1501,2-STORY PUD 1946+,FV,,2980,0,Corner,0,Somerst,TwnhsE,2Story,6,5,2000,2000,CompShg,BrkFace,4,3,PConc,4,3,0,6,466,1,0,290,756,GasA,5,1,5,756,756,0,1512,1,0,2,2,1,4,5,0,0,0,Detchd,2000,1,2,440,3,3,2,0,32,0,0,0,0,0,0,,0,May,2010,WD,Normal,168079.7258
1502,2-STORY PUD 1946+,FV,,2403,1,FR2,0,Somerst,TwnhsE,2Story,7,5,2003,2003,CompShg,None,4,3,PConc,4,3,0,6,244,1,0,286,530,GasA,5,1,5,530,550,0,1080,0,0,2,2,1,4,4,0,0,0,Attchd,2003,2,2,496,3,3,2,0,50,0,0,0,0,0,0,,0,June,2010,WD,Normal,154254.3743
1503,1-STORY 1946+,FV,57,12853,1,Inside,0,Somerst,1Fam,1Story,8,5,2010,2010,CompShg,None,4,3,PConc,5,1,0,6,1032,1,0,610,1642,GasA,5,1,5,1418,0,0,1418,1,0,1,1,1,4,6,0,1,4,Attchd,2010,2,3,852,3,3,2,160,192,0,224,0,0,0,0,,0,Apr,2010,New,Partial,280054.8663
1504,2-STORY 1946+,FV,68,7379,1,Inside,0,Somerst,1Fam,2Story,8,5,2000,2000,CompShg,None,4,3,PConc,4,3,0,6,484,1,0,491,975,GasA,5,1,5,975,873,0,1848,1,0,2,3,1,4,7,0,1,3,Attchd,2000,2,2,592,3,3,2,280,184,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,235220.188
1505,1-STORY 1946+,FV,80,8000,0,Inside,0,Somerst,1Fam,1Story,7,5,2002,2002,CompShg,None,4,3,PConc,4,3,0,6,833,1,0,659,1492,GasA,5,1,5,1492,0,0,1492,1,0,2,3,1,4,6,0,1,4,Attchd,2002,2,2,596,3,3,2,277,137,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,225199.9526
1506,1-STORY 1946+,RL,,10456,1,Inside,0,NWAmes,1Fam,1Story,6,6,1967,1967,CompShg,BrkFace,3,3,CBlock,3,3,0,6,506,1,0,1323,1829,GasA,4,1,5,1829,0,0,1829,1,0,2,4,1,3,8,0,0,0,Attchd,1967,2,2,535,3,3,2,0,76,0,0,0,0,0,0,,0,May,2010,WD,Normal,176694.4754
1507,2-STORY 1946+,RL,80,10791,0,Inside,0,NWAmes,1Fam,2Story,6,5,1993,1993,CompShg,None,3,3,PConc,4,3,1,6,1137,1,0,143,1280,GasA,5,1,5,1280,1215,0,2495,1,0,2,4,1,4,9,0,1,3,Attchd,1993,1,2,660,3,3,2,224,32,0,0,0,0,0,0,,0,Mar,2010,WD,Normal,229684.8209
1508,1-1/2 STORY FIN,RL,,18837,1,Inside,0,NWAmes,1Fam,1.5Fin,6,5,1978,1978,CompShg,None,3,3,PConc,4,3,1,5,687,3,46,491,1224,GasA,3,1,5,1287,604,0,1891,0,1,3,3,1,3,7,0,1,3,Attchd,1978,2,2,678,3,3,2,0,69,0,0,0,0,0,0,,0,Apr,2010,WD,Normal,195856.4086
